// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea
// command took 1,21s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea
// command took 11,06s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea
// command took 2,35s and exited with 0
// ***** Done, took 00:00:14 (14.69 sec)   *****
// Found 2 benchmarks:
//   Bench.MyListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)
//   Bench.NormalListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)

// **************************
// Benchmark: Bench.MyListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "375eec8e-86f4-4115-ae84-d39374e185ea.dll" --benchmarkName "MyLINQ.Bench.MyListAdd" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.8 (6.0.822.36306), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-JSAXDK(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 247800.00 ns, 247.8000 us/op
WorkloadActual  62: 1 op, 37600.00 ns, 37.6000 us/op
WorkloadActual  63: 1 op, 33300.00 ns, 33.3000 us/op
WorkloadActual  64: 1 op, 30800.00 ns, 30.8000 us/op
WorkloadActual  65: 1 op, 37500.00 ns, 37.5000 us/op
WorkloadActual  66: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadActual  67: 1 op, 37600.00 ns, 37.6000 us/op
WorkloadActual  68: 1 op, 36300.00 ns, 36.3000 us/op
WorkloadActual  69: 1 op, 39900.00 ns, 39.9000 us/op
WorkloadActual  70: 1 op, 38900.00 ns, 38.9000 us/op
WorkloadActual  71: 1 op, 35200.00 ns, 35.2000 us/op
WorkloadActual  72: 1 op, 35700.00 ns, 35.7000 us/op
WorkloadActual  73: 1 op, 35100.00 ns, 35.1000 us/op
WorkloadActual  74: 1 op, 41300.00 ns, 41.3000 us/op
WorkloadActual  75: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadActual  76: 1 op, 35400.00 ns, 35.4000 us/op
WorkloadActual  77: 1 op, 67300.00 ns, 67.3000 us/op
WorkloadActual  78: 1 op, 44900.00 ns, 44.9000 us/op
WorkloadActual  79: 1 op, 30500.00 ns, 30.5000 us/op
WorkloadActual  80: 1 op, 31300.00 ns, 31.3000 us/op
WorkloadActual  81: 1 op, 37000.00 ns, 37.0000 us/op
WorkloadActual  82: 1 op, 41400.00 ns, 41.4000 us/op
WorkloadActual  83: 1 op, 51200.00 ns, 51.2000 us/op
WorkloadActual  84: 1 op, 32200.00 ns, 32.2000 us/op
WorkloadActual  85: 1 op, 31000.00 ns, 31.0000 us/op
WorkloadActual  86: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadActual  87: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadActual  88: 1 op, 33600.00 ns, 33.6000 us/op
WorkloadActual  89: 1 op, 33900.00 ns, 33.9000 us/op
WorkloadActual  90: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadActual  91: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadActual  92: 1 op, 32000.00 ns, 32.0000 us/op
WorkloadActual  93: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadActual  94: 1 op, 30600.00 ns, 30.6000 us/op
WorkloadActual  95: 1 op, 32700.00 ns, 32.7000 us/op
WorkloadActual  96: 1 op, 32000.00 ns, 32.0000 us/op
WorkloadActual  97: 1 op, 57000.00 ns, 57.0000 us/op
WorkloadActual  98: 1 op, 35700.00 ns, 35.7000 us/op
WorkloadActual  99: 1 op, 32100.00 ns, 32.1000 us/op
WorkloadActual  100: 1 op, 29300.00 ns, 29.3000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 35600.00 ns, 35.6000 us/op
WorkloadResult   2: 1 op, 36900.00 ns, 36.9000 us/op
WorkloadResult   3: 1 op, 33500.00 ns, 33.5000 us/op
WorkloadResult   4: 1 op, 39600.00 ns, 39.6000 us/op
WorkloadResult   5: 1 op, 33800.00 ns, 33.8000 us/op
WorkloadResult   6: 1 op, 39100.00 ns, 39.1000 us/op
WorkloadResult   7: 1 op, 36000.00 ns, 36.0000 us/op
WorkloadResult   8: 1 op, 47000.00 ns, 47.0000 us/op
WorkloadResult   9: 1 op, 38000.00 ns, 38.0000 us/op
WorkloadResult  10: 1 op, 37900.00 ns, 37.9000 us/op
WorkloadResult  11: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadResult  12: 1 op, 47300.00 ns, 47.3000 us/op
WorkloadResult  13: 1 op, 37900.00 ns, 37.9000 us/op
WorkloadResult  14: 1 op, 38800.00 ns, 38.8000 us/op
WorkloadResult  15: 1 op, 31500.00 ns, 31.5000 us/op
WorkloadResult  16: 1 op, 31100.00 ns, 31.1000 us/op
WorkloadResult  17: 1 op, 33800.00 ns, 33.8000 us/op
WorkloadResult  18: 1 op, 34900.00 ns, 34.9000 us/op
WorkloadResult  19: 1 op, 32600.00 ns, 32.6000 us/op
WorkloadResult  20: 1 op, 37300.00 ns, 37.3000 us/op
WorkloadResult  21: 1 op, 33000.00 ns, 33.0000 us/op
WorkloadResult  22: 1 op, 30000.00 ns, 30.0000 us/op
WorkloadResult  23: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadResult  24: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  25: 1 op, 31300.00 ns, 31.3000 us/op
WorkloadResult  26: 1 op, 32900.00 ns, 32.9000 us/op
WorkloadResult  27: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadResult  28: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadResult  29: 1 op, 35100.00 ns, 35.1000 us/op
WorkloadResult  30: 1 op, 32000.00 ns, 32.0000 us/op
WorkloadResult  31: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadResult  32: 1 op, 31700.00 ns, 31.7000 us/op
WorkloadResult  33: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadResult  34: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadResult  35: 1 op, 33800.00 ns, 33.8000 us/op
WorkloadResult  36: 1 op, 32300.00 ns, 32.3000 us/op
WorkloadResult  37: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadResult  38: 1 op, 43700.00 ns, 43.7000 us/op
WorkloadResult  39: 1 op, 45400.00 ns, 45.4000 us/op
WorkloadResult  40: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadResult  41: 1 op, 30700.00 ns, 30.7000 us/op
WorkloadResult  42: 1 op, 29900.00 ns, 29.9000 us/op
WorkloadResult  43: 1 op, 32100.00 ns, 32.1000 us/op
WorkloadResult  44: 1 op, 43100.00 ns, 43.1000 us/op
WorkloadResult  45: 1 op, 42900.00 ns, 42.9000 us/op
WorkloadResult  46: 1 op, 41700.00 ns, 41.7000 us/op
WorkloadResult  47: 1 op, 38500.00 ns, 38.5000 us/op
WorkloadResult  48: 1 op, 32500.00 ns, 32.5000 us/op
WorkloadResult  49: 1 op, 38900.00 ns, 38.9000 us/op
WorkloadResult  50: 1 op, 36900.00 ns, 36.9000 us/op
WorkloadResult  51: 1 op, 37900.00 ns, 37.9000 us/op
WorkloadResult  52: 1 op, 38200.00 ns, 38.2000 us/op
WorkloadResult  53: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadResult  54: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadResult  55: 1 op, 37400.00 ns, 37.4000 us/op
WorkloadResult  56: 1 op, 33100.00 ns, 33.1000 us/op
WorkloadResult  57: 1 op, 30600.00 ns, 30.6000 us/op
WorkloadResult  58: 1 op, 37300.00 ns, 37.3000 us/op
WorkloadResult  59: 1 op, 36000.00 ns, 36.0000 us/op
WorkloadResult  60: 1 op, 37400.00 ns, 37.4000 us/op
WorkloadResult  61: 1 op, 36100.00 ns, 36.1000 us/op
WorkloadResult  62: 1 op, 39700.00 ns, 39.7000 us/op
WorkloadResult  63: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadResult  64: 1 op, 35000.00 ns, 35.0000 us/op
WorkloadResult  65: 1 op, 35500.00 ns, 35.5000 us/op
WorkloadResult  66: 1 op, 34900.00 ns, 34.9000 us/op
WorkloadResult  67: 1 op, 41100.00 ns, 41.1000 us/op
WorkloadResult  68: 1 op, 38500.00 ns, 38.5000 us/op
WorkloadResult  69: 1 op, 35200.00 ns, 35.2000 us/op
WorkloadResult  70: 1 op, 44700.00 ns, 44.7000 us/op
WorkloadResult  71: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadResult  72: 1 op, 31100.00 ns, 31.1000 us/op
WorkloadResult  73: 1 op, 36800.00 ns, 36.8000 us/op
WorkloadResult  74: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadResult  75: 1 op, 32000.00 ns, 32.0000 us/op
WorkloadResult  76: 1 op, 30800.00 ns, 30.8000 us/op
WorkloadResult  77: 1 op, 33800.00 ns, 33.8000 us/op
WorkloadResult  78: 1 op, 33800.00 ns, 33.8000 us/op
WorkloadResult  79: 1 op, 33400.00 ns, 33.4000 us/op
WorkloadResult  80: 1 op, 33700.00 ns, 33.7000 us/op
WorkloadResult  81: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  82: 1 op, 30700.00 ns, 30.7000 us/op
WorkloadResult  83: 1 op, 31800.00 ns, 31.8000 us/op
WorkloadResult  84: 1 op, 32600.00 ns, 32.6000 us/op
WorkloadResult  85: 1 op, 30400.00 ns, 30.4000 us/op
WorkloadResult  86: 1 op, 32500.00 ns, 32.5000 us/op
WorkloadResult  87: 1 op, 31800.00 ns, 31.8000 us/op
WorkloadResult  88: 1 op, 35500.00 ns, 35.5000 us/op
WorkloadResult  89: 1 op, 31900.00 ns, 31.9000 us/op
WorkloadResult  90: 1 op, 29100.00 ns, 29.1000 us/op
GC:  0 0 0 131848 1
Threading:  0 0 1

// AfterAll
// Benchmark Process 11256 has exited with code 0.

Mean = 35.228 μs, StdErr = 0.439 μs (1.25%), N = 90, StdDev = 4.161 μs
Min = 29.100 μs, Q1 = 31.925 μs, Median = 33.800 μs, Q3 = 37.900 μs, Max = 47.300 μs
IQR = 5.975 μs, LowerFence = 22.962 μs, UpperFence = 46.862 μs
ConfidenceInterval = [33.735 μs; 36.721 μs] (CI 99.9%), Margin = 1.493 μs (4.24% of Mean)
Skewness = 0.9, Kurtosis = 3.28, MValue = 2.5

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\MyLINQ.Bench-report.csv
  BenchmarkDotNet.Artifacts\results\MyLINQ.Bench-report-github.md
  BenchmarkDotNet.Artifacts\results\MyLINQ.Bench-report.html

// * Detailed results *
Bench.MyListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)
Runtime = .NET 6.0.8 (6.0.822.36306), X64 RyuJIT; GC = Concurrent Workstation
Mean = 9.186 μs, StdErr = 0.133 μs (1.45%), N = 97, StdDev = 1.308 μs
Min = 8.000 μs, Q1 = 8.100 μs, Median = 8.400 μs, Q3 = 10.200 μs, Max = 13.000 μs
IQR = 2.100 μs, LowerFence = 4.950 μs, UpperFence = 13.350 μs
ConfidenceInterval = [8.735 μs; 9.636 μs] (CI 99.9%), Margin = 0.451 μs (4.91% of Mean)
Skewness = 1.02, Kurtosis = 3, MValue = 2.67
-------------------- Histogram --------------------
[ 7.976 μs ;  8.724 μs) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[ 8.724 μs ;  9.524 μs) | @@@@@@@@@@
[ 9.524 μs ; 10.076 μs) | @@@
[10.076 μs ; 10.824 μs) | @@@@@@@@@@@@@@@@@@
[10.824 μs ; 11.574 μs) | @@@@@@@
[11.574 μs ; 11.876 μs) | 
[11.876 μs ; 12.624 μs) | @@@
[12.624 μs ; 13.374 μs) | @@
---------------------------------------------------

Bench.NormalListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)
Runtime = .NET 6.0.8 (6.0.822.36306), X64 RyuJIT; GC = Concurrent Workstation
Mean = 35.228 μs, StdErr = 0.439 μs (1.25%), N = 90, StdDev = 4.161 μs
Min = 29.100 μs, Q1 = 31.925 μs, Median = 33.800 μs, Q3 = 37.900 μs, Max = 47.300 μs
IQR = 5.975 μs, LowerFence = 22.962 μs, UpperFence = 46.862 μs
ConfidenceInterval = [33.735 μs; 36.721 μs] (CI 99.9%), Margin = 1.493 μs (4.24% of Mean)
Skewness = 0.9, Kurtosis = 3.28, MValue = 2.5
-------------------- Histogram --------------------
[28.981 μs ; 31.381 μs) | @@@@@@@@@@@@@@@
[31.381 μs ; 33.819 μs) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[33.819 μs ; 36.731 μs) | @@@@@@@@@@@@@
[36.731 μs ; 39.169 μs) | @@@@@@@@@@@@@@@@@@@
[39.169 μs ; 40.881 μs) | @@
[40.881 μs ; 43.319 μs) | @@@@@
[43.319 μs ; 45.769 μs) | @@@
[45.769 μs ; 48.519 μs) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.13.1, OS=Windows 10.0.22000
AMD Ryzen 5 5500U with Radeon Graphics, 1 CPU, 12 logical and 6 physical cores
.NET SDK=6.0.303
  [Host]     : .NET 6.0.8 (6.0.822.36306), X64 RyuJIT
  Job-XYHAXN : .NET 6.0.8 (6.0.822.36306), X64 RyuJIT

InvocationCount=1  UnrollFactor=1  

|        Method |      Mean |     Error |   StdDev |    Median | Allocated |
|-------------- |----------:|----------:|---------:|----------:|----------:|
|     MyListAdd |  9.186 μs | 0.4509 μs | 1.308 μs |  8.400 μs |     480 B |
| NormalListAdd | 35.228 μs | 1.4928 μs | 4.161 μs | 33.800 μs | 131,848 B |

// * Warnings *
MinIterationTime
  Bench.MyListAdd: InvocationCount=1, UnrollFactor=1     -> The minimum observed iteration time is 8.2000 μs which is very small. It's recommended to increase it to at least 100.0000 ms using more operations.
  Bench.NormalListAdd: InvocationCount=1, UnrollFactor=1 -> The minimum observed iteration time is 29.3000 μs which is very small. It's recommended to increase it to at least 100.0000 ms using more operations.

// * Hints *
Outliers
  Bench.MyListAdd: InvocationCount=1, UnrollFactor=1     -> 3 outliers were removed (16.60 μs..72.40 μs)
  Bench.NormalListAdd: InvocationCount=1, UnrollFactor=1 -> 10 outliers were removed (49.00 μs..81.90 μs)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Median    : Value separating the higher half of all measurements (50th percentile)
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 μs      : 1 Microsecond (0.000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:01 (1.18 sec), executed benchmarks: 2

Global total time: 00:00:15 (15.87 sec), executed benchmarks: 2
// * Artifacts cleanup *
