// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\b22fdd97-d82b-42df-bc48-08789417f8ea
// command took 1,2s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\b22fdd97-d82b-42df-bc48-08789417f8ea
// command took 11,99s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\b22fdd97-d82b-42df-bc48-08789417f8ea
// command took 2s and exited with 0
// ***** Done, took 00:00:15 (15.27 sec)   *****
// Found 2 benchmarks:
//   Bench.MyListAdd: Job-OLQMMX(InvocationCount=1, UnrollFactor=1)
//   Bench.NormalListAdd: Job-OLQMMX(InvocationCount=1, UnrollFactor=1)

// **************************
// Benchmark: Bench.MyListAdd: Job-OLQMMX(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b22fdd97-d82b-42df-bc48-08789417f8ea.dll" --benchmarkName "MyLINQ.Bench.MyListAdd" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\b22fdd97-d82b-42df-bc48-08789417f8ea\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.8 (6.0.822.36306), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-LBHSXG(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 172100.00 ns, 172.1000 us/op
WorkloadResult  14: 1 op, 8300.00 ns, 8.3000 us/op
GC:  0 0 0 480 1
Threading:  0 0 1

// AfterAll
// Benchmark Process 24036 has exited with code 0.

Mean = 8.193 μs, StdErr = 0.038 μs (0.47%), N = 14, StdDev = 0.144 μs
Min = 8.100 μs, Q1 = 8.100 μs, Median = 8.100 μs, Q3 = 8.200 μs, Max = 8.500 μs
IQR = 0.100 μs, LowerFence = 7.950 μs, UpperFence = 8.350 μs
ConfidenceInterval = [8.031 μs; 8.355 μs] (CI 99.9%), Margin = 0.162 μs (1.98% of Mean)
Skewness = 1.26, Kurtosis = 3.08, MValue = 2

// **************************
// Benchmark: Bench.NormalListAdd: Job-OLQMMX(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b22fdd97-d82b-42df-bc48-08789417f8ea.dll" --benchmarkName "MyLINQ.Bench.NormalListAdd" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 1 in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\b22fdd97-d82b-42df-bc48-08789417f8ea\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.8 (6.0.822.36306), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-OYPNHZ(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 175000.00 ns, 175.0000 us/op
WorkloadJitting  1: 1 op, 633900.00 ns, 633.9000 us/op

OverheadWarmup   1: 1 op, 400.00 ns, 400.0000 ns/op
OverheadWarmup   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   8: 1 op, 100.00 ns, 100.0000 ns/op

OverheadActual   1: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   3: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  11: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  15: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  16: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  19: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  20: 1 op, 300.00 ns, 300.0000 ns/op

WorkloadWarmup   1: 1 op, 138200.00 ns, 138.2000 us/op
WorkloadWarmup   2: 1 op, 35100.00 ns, 35.1000 us/op
WorkloadWarmup   3: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadWarmup   4: 1 op, 36600.00 ns, 36.6000 us/op
WorkloadWarmup   5: 1 op, 61000.00 ns, 61.0000 us/op
WorkloadWarmup   6: 1 op, 33800.00 ns, 33.8000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 38000.00 ns, 38.0000 us/op
WorkloadActual   2: 1 op, 60400.00 ns, 60.4000 us/op
WorkloadActual   3: 1 op, 59000.00 ns, 59.0000 us/op
WorkloadActual   4: 1 op, 69700.00 ns, 69.7000 us/op
WorkloadActual   5: 1 op, 37900.00 ns, 37.9000 us/op
WorkloadActual   6: 1 op, 60400.00 ns, 60.4000 us/op
WorkloadActual   7: 1 op, 58000.00 ns, 58.0000 us/op
WorkloadActual   8: 1 op, 124000.00 ns, 124.0000 us/op
WorkloadActual   9: 1 op, 53700.00 ns, 53.7000 us/op
WorkloadActual  10: 1 op, 34400.00 ns, 34.4000 us/op
WorkloadActual  11: 1 op, 34200.00 ns, 34.2000 us/op
WorkloadActual  12: 1 op, 39200.00 ns, 39.2000 us/op
WorkloadActual  13: 1 op, 40200.00 ns, 40.2000 us/op
WorkloadActual  14: 1 op, 35000.00 ns, 35.0000 us/op
WorkloadActual  15: 1 op, 60200.00 ns, 60.2000 us/op
WorkloadActual  16: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadActual  17: 1 op, 62100.00 ns, 62.1000 us/op
WorkloadActual  18: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadActual  19: 1 op, 46300.00 ns, 46.3000 us/op
WorkloadActual  20: 1 op, 39700.00 ns, 39.7000 us/op
WorkloadActual  21: 1 op, 42200.00 ns, 42.2000 us/op
WorkloadActual  22: 1 op, 60900.00 ns, 60.9000 us/op
WorkloadActual  23: 1 op, 34600.00 ns, 34.6000 us/op
WorkloadActual  24: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadActual  25: 1 op, 36300.00 ns, 36.3000 us/op
WorkloadActual  26: 1 op, 33400.00 ns, 33.4000 us/op
WorkloadActual  27: 1 op, 33000.00 ns, 33.0000 us/op
WorkloadActual  28: 1 op, 35900.00 ns, 35.9000 us/op
WorkloadActual  29: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadActual  30: 1 op, 41000.00 ns, 41.0000 us/op
WorkloadActual  31: 1 op, 37800.00 ns, 37.8000 us/op
WorkloadActual  32: 1 op, 37100.00 ns, 37.1000 us/op
WorkloadActual  33: 1 op, 37800.00 ns, 37.8000 us/op
WorkloadActual  34: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadActual  35: 1 op, 29700.00 ns, 29.7000 us/op
WorkloadActual  36: 1 op, 29900.00 ns, 29.9000 us/op
WorkloadActual  37: 1 op, 30200.00 ns, 30.2000 us/op
WorkloadActual  38: 1 op, 33400.00 ns, 33.4000 us/op
WorkloadActual  39: 1 op, 56200.00 ns, 56.2000 us/op
WorkloadActual  40: 1 op, 33600.00 ns, 33.6000 us/op
WorkloadActual  41: 1 op, 29900.00 ns, 29.9000 us/op
WorkloadActual  42: 1 op, 29600.00 ns, 29.6000 us/op
WorkloadActual  43: 1 op, 33900.00 ns, 33.9000 us/op
WorkloadActual  44: 1 op, 32300.00 ns, 32.3000 us/op
WorkloadActual  45: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadActual  46: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadActual  47: 1 op, 29900.00 ns, 29.9000 us/op
WorkloadActual  48: 1 op, 30000.00 ns, 30.0000 us/op
WorkloadActual  49: 1 op, 67700.00 ns, 67.7000 us/op
WorkloadActual  50: 1 op, 34900.00 ns, 34.9000 us/op
WorkloadActual  51: 1 op, 32500.00 ns, 32.5000 us/op
WorkloadActual  52: 1 op, 35500.00 ns, 35.5000 us/op
WorkloadActual  53: 1 op, 33400.00 ns, 33.4000 us/op
WorkloadActual  54: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadActual  55: 1 op, 49300.00 ns, 49.3000 us/op
WorkloadActual  56: 1 op, 31500.00 ns, 31.5000 us/op
WorkloadActual  57: 1 op, 32700.00 ns, 32.7000 us/op
WorkloadActual  58: 1 op, 30200.00 ns, 30.2000 us/op
WorkloadActual  59: 1 op, 31700.00 ns, 31.7000 us/op
WorkloadActual  60: 1 op, 38500.00 ns, 38.5000 us/op
WorkloadActual  61: 1 op, 33500.00 ns, 33.5000 us/op
WorkloadActual  62: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadActual  63: 1 op, 33100.00 ns, 33.1000 us/op
WorkloadActual  64: 1 op, 34300.00 ns, 34.3000 us/op
WorkloadActual  65: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadActual  66: 1 op, 34500.00 ns, 34.5000 us/op
WorkloadActual  67: 1 op, 39300.00 ns, 39.3000 us/op
WorkloadActual  68: 1 op, 33900.00 ns, 33.9000 us/op
WorkloadActual  69: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadActual  70: 1 op, 63700.00 ns, 63.7000 us/op
WorkloadActual  71: 1 op, 55700.00 ns, 55.7000 us/op
WorkloadActual  72: 1 op, 57900.00 ns, 57.9000 us/op
WorkloadActual  73: 1 op, 32600.00 ns, 32.6000 us/op
WorkloadActual  74: 1 op, 32100.00 ns, 32.1000 us/op
WorkloadActual  75: 1 op, 56100.00 ns, 56.1000 us/op
WorkloadActual  76: 1 op, 58500.00 ns, 58.5000 us/op
WorkloadActual  77: 1 op, 32100.00 ns, 32.1000 us/op
WorkloadActual  78: 1 op, 30400.00 ns, 30.4000 us/op
WorkloadActual  79: 1 op, 31800.00 ns, 31.8000 us/op
WorkloadActual  80: 1 op, 61200.00 ns, 61.2000 us/op
WorkloadActual  81: 1 op, 31100.00 ns, 31.1000 us/op
WorkloadActual  82: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadActual  83: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadActual  84: 1 op, 30800.00 ns, 30.8000 us/op
WorkloadActual  85: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadActual  86: 1 op, 32700.00 ns, 32.7000 us/op
WorkloadActual  87: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadActual  88: 1 op, 39200.00 ns, 39.2000 us/op
WorkloadActual  89: 1 op, 77200.00 ns, 77.2000 us/op
WorkloadActual  90: 1 op, 33500.00 ns, 33.5000 us/op
WorkloadActual  91: 1 op, 36700.00 ns, 36.7000 us/op
WorkloadActual  92: 1 op, 31000.00 ns, 31.0000 us/op
WorkloadActual  93: 1 op, 30000.00 ns, 30.0000 us/op
WorkloadActual  94: 1 op, 32700.00 ns, 32.7000 us/op
WorkloadActual  95: 1 op, 60700.00 ns, 60.7000 us/op
WorkloadActual  96: 1 op, 37100.00 ns, 37.1000 us/op
WorkloadActual  97: 1 op, 35800.00 ns, 35.8000 us/op
WorkloadActual  98: 1 op, 35800.00 ns, 35.8000 us/op
WorkloadActual  99: 1 op, 28800.00 ns, 28.8000 us/op
WorkloadActual  100: 1 op, 41800.00 ns, 41.8000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 37800.00 ns, 37.8000 us/op
WorkloadResult   2: 1 op, 37700.00 ns, 37.7000 us/op
WorkloadResult   3: 1 op, 34200.00 ns, 34.2000 us/op
WorkloadResult   4: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadResult   5: 1 op, 39000.00 ns, 39.0000 us/op
WorkloadResult   6: 1 op, 40000.00 ns, 40.0000 us/op
WorkloadResult   7: 1 op, 34800.00 ns, 34.8000 us/op
WorkloadResult   8: 1 op, 36000.00 ns, 36.0000 us/op
WorkloadResult   9: 1 op, 36000.00 ns, 36.0000 us/op
WorkloadResult  10: 1 op, 46100.00 ns, 46.1000 us/op
WorkloadResult  11: 1 op, 39500.00 ns, 39.5000 us/op
WorkloadResult  12: 1 op, 42000.00 ns, 42.0000 us/op
WorkloadResult  13: 1 op, 34400.00 ns, 34.4000 us/op
WorkloadResult  14: 1 op, 32600.00 ns, 32.6000 us/op
WorkloadResult  15: 1 op, 36100.00 ns, 36.1000 us/op
WorkloadResult  16: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadResult  17: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadResult  18: 1 op, 35700.00 ns, 35.7000 us/op
WorkloadResult  19: 1 op, 36000.00 ns, 36.0000 us/op
WorkloadResult  20: 1 op, 40800.00 ns, 40.8000 us/op
WorkloadResult  21: 1 op, 37600.00 ns, 37.6000 us/op
WorkloadResult  22: 1 op, 36900.00 ns, 36.9000 us/op
WorkloadResult  23: 1 op, 37600.00 ns, 37.6000 us/op
WorkloadResult  24: 1 op, 33000.00 ns, 33.0000 us/op
WorkloadResult  25: 1 op, 29500.00 ns, 29.5000 us/op
WorkloadResult  26: 1 op, 29700.00 ns, 29.7000 us/op
WorkloadResult  27: 1 op, 30000.00 ns, 30.0000 us/op
WorkloadResult  28: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadResult  29: 1 op, 33400.00 ns, 33.4000 us/op
WorkloadResult  30: 1 op, 29700.00 ns, 29.7000 us/op
WorkloadResult  31: 1 op, 29400.00 ns, 29.4000 us/op
WorkloadResult  32: 1 op, 33700.00 ns, 33.7000 us/op
WorkloadResult  33: 1 op, 32100.00 ns, 32.1000 us/op
WorkloadResult  34: 1 op, 30100.00 ns, 30.1000 us/op
WorkloadResult  35: 1 op, 30700.00 ns, 30.7000 us/op
WorkloadResult  36: 1 op, 29700.00 ns, 29.7000 us/op
WorkloadResult  37: 1 op, 29800.00 ns, 29.8000 us/op
WorkloadResult  38: 1 op, 34700.00 ns, 34.7000 us/op
WorkloadResult  39: 1 op, 32300.00 ns, 32.3000 us/op
WorkloadResult  40: 1 op, 35300.00 ns, 35.3000 us/op
WorkloadResult  41: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadResult  42: 1 op, 33000.00 ns, 33.0000 us/op
WorkloadResult  43: 1 op, 49100.00 ns, 49.1000 us/op
WorkloadResult  44: 1 op, 31300.00 ns, 31.3000 us/op
WorkloadResult  45: 1 op, 32500.00 ns, 32.5000 us/op
WorkloadResult  46: 1 op, 30000.00 ns, 30.0000 us/op
WorkloadResult  47: 1 op, 31500.00 ns, 31.5000 us/op
WorkloadResult  48: 1 op, 38300.00 ns, 38.3000 us/op
WorkloadResult  49: 1 op, 33300.00 ns, 33.3000 us/op
WorkloadResult  50: 1 op, 32600.00 ns, 32.6000 us/op
WorkloadResult  51: 1 op, 32900.00 ns, 32.9000 us/op
WorkloadResult  52: 1 op, 34100.00 ns, 34.1000 us/op
WorkloadResult  53: 1 op, 33000.00 ns, 33.0000 us/op
WorkloadResult  54: 1 op, 34300.00 ns, 34.3000 us/op
WorkloadResult  55: 1 op, 39100.00 ns, 39.1000 us/op
WorkloadResult  56: 1 op, 33700.00 ns, 33.7000 us/op
WorkloadResult  57: 1 op, 30100.00 ns, 30.1000 us/op
WorkloadResult  58: 1 op, 32400.00 ns, 32.4000 us/op
WorkloadResult  59: 1 op, 31900.00 ns, 31.9000 us/op
WorkloadResult  60: 1 op, 31900.00 ns, 31.9000 us/op
WorkloadResult  61: 1 op, 30200.00 ns, 30.2000 us/op
WorkloadResult  62: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadResult  63: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadResult  64: 1 op, 32600.00 ns, 32.6000 us/op
WorkloadResult  65: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  66: 1 op, 30600.00 ns, 30.6000 us/op
WorkloadResult  67: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  68: 1 op, 32500.00 ns, 32.5000 us/op
WorkloadResult  69: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  70: 1 op, 39000.00 ns, 39.0000 us/op
WorkloadResult  71: 1 op, 33300.00 ns, 33.3000 us/op
WorkloadResult  72: 1 op, 36500.00 ns, 36.5000 us/op
WorkloadResult  73: 1 op, 30800.00 ns, 30.8000 us/op
WorkloadResult  74: 1 op, 29800.00 ns, 29.8000 us/op
WorkloadResult  75: 1 op, 32500.00 ns, 32.5000 us/op
WorkloadResult  76: 1 op, 36900.00 ns, 36.9000 us/op
WorkloadResult  77: 1 op, 35600.00 ns, 35.6000 us/op
WorkloadResult  78: 1 op, 35600.00 ns, 35.6000 us/op
WorkloadResult  79: 1 op, 28600.00 ns, 28.6000 us/op
WorkloadResult  80: 1 op, 41600.00 ns, 41.6000 us/op
GC:  0 0 0 131848 1
Threading:  0 0 1

// AfterAll
// Benchmark Process 18864 has exited with code 0.

Mean = 34.101 μs, StdErr = 0.430 μs (1.26%), N = 80, StdDev = 3.843 μs
Min = 28.600 μs, Q1 = 31.400 μs, Median = 33.200 μs, Q3 = 36.000 μs, Max = 49.100 μs
IQR = 4.600 μs, LowerFence = 24.500 μs, UpperFence = 42.900 μs
ConfidenceInterval = [32.633 μs; 35.570 μs] (CI 99.9%), Margin = 1.469 μs (4.31% of Mean)
Skewness = 1.31, Kurtosis = 5.24, MValue = 3.23

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\MyLINQ.Bench-report.csv
  BenchmarkDotNet.Artifacts\results\MyLINQ.Bench-report-github.md
  BenchmarkDotNet.Artifacts\results\MyLINQ.Bench-report.html

// * Detailed results *
Bench.MyListAdd: Job-OLQMMX(InvocationCount=1, UnrollFactor=1)
Runtime = .NET 6.0.8 (6.0.822.36306), X64 RyuJIT; GC = Concurrent Workstation
Mean = 8.193 μs, StdErr = 0.038 μs (0.47%), N = 14, StdDev = 0.144 μs
Min = 8.100 μs, Q1 = 8.100 μs, Median = 8.100 μs, Q3 = 8.200 μs, Max = 8.500 μs
IQR = 0.100 μs, LowerFence = 7.950 μs, UpperFence = 8.350 μs
ConfidenceInterval = [8.031 μs; 8.355 μs] (CI 99.9%), Margin = 0.162 μs (1.98% of Mean)
Skewness = 1.26, Kurtosis = 3.08, MValue = 2
-------------------- Histogram --------------------
[8.069 μs ; 8.578 μs) | @@@@@@@@@@@@@@
---------------------------------------------------

Bench.NormalListAdd: Job-OLQMMX(InvocationCount=1, UnrollFactor=1)
Runtime = .NET 6.0.8 (6.0.822.36306), X64 RyuJIT; GC = Concurrent Workstation
Mean = 34.101 μs, StdErr = 0.430 μs (1.26%), N = 80, StdDev = 3.843 μs
Min = 28.600 μs, Q1 = 31.400 μs, Median = 33.200 μs, Q3 = 36.000 μs, Max = 49.100 μs
IQR = 4.600 μs, LowerFence = 24.500 μs, UpperFence = 42.900 μs
ConfidenceInterval = [32.633 μs; 35.570 μs] (CI 99.9%), Margin = 1.469 μs (4.31% of Mean)
Skewness = 1.31, Kurtosis = 5.24, MValue = 3.23
-------------------- Histogram --------------------
[27.429 μs ; 29.179 μs) | @
[29.179 μs ; 31.379 μs) | @@@@@@@@@@@@@@@@@
[31.379 μs ; 33.721 μs) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[33.721 μs ; 36.221 μs) | @@@@@@@@@@@@@@@
[36.221 μs ; 39.171 μs) | @@@@@@@@@@@
[39.171 μs ; 42.171 μs) | @@@@@
[42.171 μs ; 44.929 μs) | 
[44.929 μs ; 47.929 μs) | @
[47.929 μs ; 50.271 μs) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.13.1, OS=Windows 10.0.22000
AMD Ryzen 5 5500U with Radeon Graphics, 1 CPU, 12 logical and 6 physical cores
.NET SDK=6.0.303
